session_id,target
1,0.0022099595999490827
2,4.809659802579945e-09
3,1.8723719730183633e-08
4,2.3545576198325107e-08
5,3.1301560743572754e-05
6,0.00021845540257546477
7,0.0005479214317348301
8,0.00013226846916954696
9,0.0007951655539285686
10,0.1031274366086545
11,3.036278917614181e-05
12,8.643554663785101e-05
13,0.00043757518311395634
14,0.35765602177709793
15,5.019603251348495e-05
16,0.004009122279585045
17,0.015200541686997452
18,3.193026955128816e-05
19,0.0009340689476897625
20,2.729465352852683e-07
21,0.06231478609211061
22,5.553561237462938e-08
23,2.866791492749715e-05
24,0.00033862739700183856
25,0.07178527502955406
26,4.598823207512802e-09
27,0.0006277975816265815
28,3.6905745862457434e-07
29,0.014569991824950316
30,0.00011073129180640565
31,0.01367339267494663
32,0.04383460357627139
33,0.0006206158981554985
34,9.342377910390704e-08
35,0.013395450474673248
36,0.00032647491107089575
37,6.200836297761132e-09
38,1.3751192856715682e-08
39,0.00011073129180640565
40,2.999358745859899e-05
41,0.00044253255304322844
42,0.001257952104421199
43,1.8722054597695496e-06
44,1.4061969402002391e-05
45,0.2435200506556582
46,8.730229949470124e-06
47,0.00925591583041863
48,0.000591430349678935
49,2.5102853622966883e-05
50,9.502684220442472e-06
51,1.2407348733722806e-07
52,6.010597403861536e-06
53,0.035736152714025374
54,0.00010325290372920523
55,6.1496662369666015e-06
56,0.0018047769635557364
57,1.1775210805837952e-06
58,1.5454275629034514e-05
59,1.5881928777811515e-05
60,6.633649393127974e-06
61,9.051254545035281e-06
62,0.0013679029505778702
63,1.5021129940322143e-05
64,3.216564015580039e-05
65,7.063622736923083e-06
66,1.1959651466034696e-07
67,0.0001960634138185093
68,0.00015697155210619493
69,0.0914724107440722
70,0.00014672291434284263
71,0.00027194119413494975
72,1.5881928777811515e-05
73,0.0301886098906432
74,4.809659802579945e-09
75,2.8869136698621306e-05
76,0.0003599563592934778
77,0.00017103923531829168
78,0.0015257132766043002
79,7.2638303230587695e-06
80,0.00012245586891035086
81,2.3602569696199322e-05
82,3.9118952544581156e-05
83,3.734738047182512e-08
84,0.24979720607394193
85,1.363349933029571e-05
86,6.214290615446332e-07
87,0.0011986719711474677
88,0.0005871481576760047
89,0.0003145776985913883
90,0.018069353535843713
91,0.000130713469031445
92,9.614385906119671e-06
93,0.032810755191374365
94,0.0008489704271968885
95,0.03878240028596852
96,3.386628158699849e-08
97,9.710010191985548e-05
98,6.852010285674293e-05
99,2.1820721784001214e-05
100,0.00010111064601544555
101,0.0005103005336890884
102,0.0706721686948868
103,0.002269788464760652
104,0.0023880079164461097
105,3.7349481393536424e-06
106,0.000278220150288056
107,0.00033275735196089347
108,1.9312974596019828e-05
109,1.813474791833149e-05
110,9.30491707017945e-05
111,0.00014646171385147817
112,2.575466262100155e-07
113,0.01539811792021478
114,6.679547563971097e-06
115,0.0001301636307294809
116,0.0008126732633400208
117,0.0014488676105157976
118,0.00440695651171655
119,0.009804215106435903
120,0.00014703080747912255
121,3.890634555997682e-05
122,0.00011073129180640565
123,0.000283633941427691
124,2.3092616882174708e-05
125,0.0016323602207437321
126,4.5705825409062846e-07
127,5.225659718914061e-09
128,0.0003546793654467015
129,0.0030232149912568867
130,0.0012013219952901953
131,0.013167759305635185
132,0.0005479214317348301
133,0.0008455221318848493
134,1.5118149393805403e-06
135,6.0377429851609034e-06
136,3.216564015580039e-05
137,0.0003221906299967597
138,0.001628993325384804
139,8.236166732867175e-07
140,0.0005440882556649154
141,3.239244866535053e-09
142,0.0003022699026069931
143,0.00029819241305267894
144,0.0007738391423827724
145,4.809659802579945e-09
146,0.011466206571625845
147,0.0003666025753483034
148,0.0005002797056125489
149,0.0003887710649629929
150,0.06116988686233426
151,6.869958421980169e-06
152,0.02965805416647929
